Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
"Windle, John Mark","Windle, John Mark",House of Representatives District 41,Won,Won,Democrat,Jamestown,No,2020,
"Wooten-Lewis, Joann","Wooten-Lewis, Joann",House of Representatives District 86,Lost,Lost,Democrat,Bartlett,No,2020,
"Yahweh, Yahweh","Yahweh, Yahweh",Senate District 24,Lost,Won,Independent,Humboldt,No,2020,
"Young, Patti Larimer","Young, Patti Larimer",Senate District 2,Lost,Lost,Democrat,Maryville,No,2020,
"Younglove-Miner, Sheila","Younglove-Miner, Sheila",Senate District 16,Lost,Won,Democrat,Mcminnville,No,2020,
"Burkhart, Jeff","Burkhart, Jeff",Senate District 22,Lost,Lost,Republican,Clarksville,Yes,2019,
"Grills, Rusty","Grills, Rusty",House of Representatives District 77,Won,Won,Republican,Newbern,Yes,2019,
"Powers, Bill","Powers, Bill",Senate District 22,Lost,Won,Republican,Clarksville,Yes,2019,
"Rose, Paul","Rose, Paul",Senate District 32,Won,Won,Republican,Memphis,Yes,2019,
"Burchett, Betty M.","Burchett, Betty M.",Senate District 22,Lost,Lost,Republican,Clarksville,No,2019,
"Charles, Juanita","Charles, Juanita",Senate District 22,Lost,Won,Democrat,Clarksville,No,2019,
"Chism, George","Chism, George",Senate District 32,Lost,Lost,Republican,Collierville,No,2019,
"Clark, Doyle","Clark, Doyle",Senate District 22,Lost,Won,Independent,Clarksville,No,2019,
"Coleman, Eric R.","Coleman, Eric R.",Senate District 32,Lost,Won,Democrat,Bartlett,No,2019,
"Cutting, David L.","Cutting, David L.",Senate District 22,Lost,Lost,Democrat,Clarksville,No,2019,
"Henley, Ronnie","Henley, Ronnie",House of Representatives District 77,Lost,Won,Independent,Newbern,No,2019,
"Hood, Casey","Hood, Casey",House of Representatives District 77,Lost,Lost,Republican,Obion,No,2019,
"Jones, Billy M.","Jones, Billy M.",House of Representatives District 77,Lost,Won,Independent,Friendship,No,2019,
"Kirk, Bob","Kirk, Bob",House of Representatives District 77,Lost,Lost,Republican,Dyersburg,No,2019,
"Knight, Jason D.","Knight, Jason D.",Senate District 22,Lost,Lost,Republican,Clarksville,No,2019,
"Mcmanus, Stephen","Mcmanus, Stephen",Senate District 32,Lost,Lost,Republican,Arcadia,No,2019,
"Schultz, Carl","Schultz, Carl",House of Representatives District 77,Lost,Lost,Republican,Dyersburg,No,2019,
"Shafer, Heidi","Shafer, Heidi",Senate District 32,Lost,Lost,Republican,Memphis,No,2019,
"Smith, Max","Smith, Max",House of Representatives District 77,Lost,Won,Independent,Dyersburg,No,2019,
"Smith, Michael E.","Smith, Michael E.",House of Representatives District 77,Lost,Won,Democrat,Dyersburg,No,2019,
"Webb, Vanedda Prince","Webb, Vanedda Prince",House of Representatives District 77,Lost,Lost,Republican,Dyersburg,No,2019,
"Akbari (House), Raumesh","Akbari, Raumesh",House of Representatives District 91,Lost,Lost,Democrat,Memphis,Yes,2018,
"Akbari, Raumesh","Akbari, Raumesh",Senate District 29,Won,Won,Democrat,Memphis,Yes,2018,
"Bailey, Paul","Bailey, Paul",Senate District 15,Won,Won,Republican,Sparta,Yes,2018,
"Baum, Charlie","Baum, Charlie",House of Representatives District 37,Won,Won,Republican,Murfreesboro,Yes,2018,
"Boyd, Clark","Boyd, Clark",House of Representatives District 46,Won,Won,Republican,Lebanon,Yes,2018,
"Bricken, Rush","Bricken, Rush",House of Representatives District 47,Won,Won,Republican,Tullahoma,Yes,2018,
"Briggs, Richard","Briggs, Richard",Senate District 7,Won,Won,Republican,Knoxville,Yes,2018,
"Butler, Ed","Butler, Ed",House of Representatives District 41,Lost,Won,Republican,Rickman,Yes,2018,
"Camper, Karen","Camper, Karen",House of Representatives District 87,Won,Won,Democrat,Memphis,Yes,2018,
"Carr, Bruce Dale","Carr, Dale",House of Representatives District 12,Won,Won,Republican,Sevierville,Yes,2018,
"Cepicky, Scott","Cepicky, Scott",House of Representatives District 64,Won,Won,Republican,Culleoka,Yes,2018,
"Chism, Jesse","Chism, Jesse",House of Representatives District 85,Won,Won,Democrat,Memphis,Yes,2018,
"Clemmons, John Ray","Clemmons, John Ray",House of Representatives District 55,Won,Won,Democrat,Nashville,Yes,2018,
"Cochran, Mark","Cochran, Mark",House of Representatives District 23,Won,Won,Republican,Englewood,Yes,2018,
"Crawford, John","Crawford, John",House of Representatives District 1,Won,Won,Republican,Kingsport,Yes,2018,
"Crowe, Rusty","Crowe, Rusty",Senate District 3,Won,Won,Republican,Johnson City,Yes,2018,
"Dixie, Vincent","Dixie, Vincent",House of Representatives District 54,Won,Won,Democrat,Nashville,Yes,2018,
"Doggett, Clay","Doggett, Clay",House of Representatives District 70,Won,Won,Republican,Pulaski,Yes,2018,
"Eldridge, Rick","Eldridge, Rick",House of Representatives District 10,Won,Won,Republican,Morristown,Yes,2018,
"Faison, Jeremy","Faison, Jeremy",House of Representatives District 11,Won,Won,Republican,Newport,Yes,2018,
"Farmer, Andrew Ellis","Farmer, Andrew",House of Representatives District 17,Won,Won,Republican,Sevierville,Yes,2018,
"Freeman, Bob","Freeman, Bob",House of Representatives District 56,Won,Won,Democrat,Nashville,Yes,2018,
"Gant, Ron","Gant, Ron",House of Representatives District 94,Won,Won,Republican,Rossville,Yes,2018,
"Garrett, Johnny","Garrett, Johnny",House of Representatives District 45,Won,Won,Republican,Goodlettsville,Yes,2018,
"Hakeem, Yusuf A.","Hakeem, Yusuf",House of Representatives District 28,Won,Won,Democrat,Chattanooga,Yes,2018,
"Hardaway, G. A.","Hardaway, G. A.",House of Representatives District 93,Won,Won,Democrat,Memphis,Yes,2018,
"Harris, Torrey","Harris, Torrey",House of Representatives District 90,Lost,Lost,Democrat,Memphis,Yes,2018,
"Haston, Kirk","Haston, Kirk",House of Representatives District 72,Won,Won,Republican,Lobelville,Yes,2018,
"Hawk, David","Hawk, David",House of Representatives District 5,Won,Won,Republican,Greeneville,Yes,2018,
"Hazlewood, Patsy","Hazlewood, Patsy",House of Representatives District 27,Won,Won,Republican,Signal Mountain,Yes,2018,
"Helton, Esther","Helton, Esther",House of Representatives District 30,Won,Won,Republican,East Ridge,Yes,2018,
"Hicks, Jr., Gary","Hicks, Gary",House of Representatives District 9,Won,Won,Republican,Rogersville,Yes,2018,
"Hill, Timothy","Hill, Timothy",House of Representatives District 3,Won,Won,Republican,Blountville,Yes,2018,
"Holsclaw, John B.","Holsclaw, John",House of Representatives District 4,Won,Won,Republican,Johnson City,Yes,2018,
"Howell, Dan","Howell, Dan",House of Representatives District 22,Won,Won,Republican,Cleveland,Yes,2018,
"Hulsey, Bud","Hulsey, Bud",House of Representatives District 2,Won,Won,Republican,Kingsport,Yes,2018,
"Hurt, Chris","Hurt, Chris",House of Representatives District 82,Won,Won,Republican,Halls,Yes,2018,
"Jackson, Edward S.","Jackson, Ed",Senate District 27,Won,Won,Republican,Jackson,Yes,2018,
"Jernigan, Darren","Jernigan, Darren",House of Representatives District 60,Won,Won,Democrat,Old Hickory,Yes,2018,
"Johnson, Curtis","Johnson, Curtis",House of Representatives District 68,Won,Won,Republican,Clarksville,Yes,2018,
"Johnson, Gloria","Johnson, Gloria",House of Representatives District 13,Won,Won,Democrat,Knoxville,Yes,2018,
"Johnson, Jack","Johnson, Jack",Senate District 23,Won,Won,Republican,Brentwood,Yes,2018,
"Keisling, Kelly","Keisling, Kelly",House of Representatives District 38,Won,Won,Republican,Byrdstown,Yes,2018,
"Kumar, Sabi (Doc)","Kumar, Sabi",House of Representatives District 66,Won,Won,Republican,Springfield,Yes,2018,
"Kyle, Sara P.","Kyle, Sara",Senate District 30,Lost,Lost,Democrat,Memphis,Yes,2018,
"Lafferty, Justin","Lafferty, Justin",House of Representatives District 89,Won,Won,Republican,Knoxville,Yes,2018,
"Lamar, London","Lamar, London",House of Representatives District 91,Won,Won,Democrat,Memphis,Yes,2018,
"Lamberth, Ii, William G.","Lamberth, William",House of Representatives District 44,Won,Won,Republican,Portland,Yes,2018,
"Leatherwood, Tom","Leatherwood, Tom",House of Representatives District 99,Won,Won,Republican,Arlington,Yes,2018,
"Lee, Bill","Lee, Bill",Governor,Won,Won,Republican,Franklin,Yes,2018,
"Littleton, Mary","Littleton, Mary",House of Representatives District 78,Won,Won,Republican,Dickson,Yes,2018,
"Love, Jr., Harold M.","Love, Harold",House of Representatives District 58,Won,Won,Democrat,Nashville,Yes,2018,
"Lynn, Susan","Lynn, Susan",House of Representatives District 57,Won,Won,Republican,Old Hickory,Yes,2018,
"Marsh, Pat","Marsh, Pat",House of Representatives District 62,Won,Won,Republican,Shelbyville,Yes,2018,
"Mcnally, Randy","McNally, Randy",Senate District 5,Won,Won,Republican,Oak Ridge,Yes,2018,
"Miller, Larry","Miller, Larry",House of Representatives District 88,Won,Won,Democrat,Memphis,Yes,2018,
"Mitchell, Bo","Mitchell, Bo",House of Representatives District 50,Won,Won,Democrat,Nashville,Yes,2018,
"Moody, Debra","Moody, Debra",House of Representatives District 81,Won,Won,Republican,Covington,Yes,2018,
"Moon, Jerome F.","Moon, Jerome",House of Representatives District 8,Won,Won,Republican,Maryville,Yes,2018,
"Parkinson, Antonio ","Parkinson, Antonio ",House of Representatives District 98,Won,Won,Democrat,Bartlett,Yes,2018,
"Pody (House), Mark","Pody, Mark",House of Representatives District 46,Lost,Lost,Republican,Lebanon,Yes,2018,
"Pody, Mark","Pody, Mark",Senate District 17,Won,Won,Republican,Lebanon,Yes,2018,
"Powers, Dennis","Powers, Dennis",House of Representatives District 36,Won,Won,Republican,Jacksboro,Yes,2018,
"Ragan, John","Ragan, John",House of Representatives District 33,Won,Won,Republican,Oak Ridge,Yes,2018,
"Reedy, Jay D.","Reedy, Jay",House of Representatives District 74,Won,Won,Republican,Erin,Yes,2018,
"Reeves, William S.","Reeves, William",Senate District 14,Won,Won,Republican,Murfreesboro,Yes,2018,
"Roberts, Kerry","Roberts, Kerry",Senate District 25,Won,Won,Republican,Springfield,Yes,2018,
"Rudd, Tim","Rudd, Tim",House of Representatives District 34,Won,Won,Republican,Murfreesboro,Yes,2018,
"Rudder, Iris","Rudder, Iris",House of Representatives District 39,Won,Won,Republican,Winchester,Yes,2018,
"Russell, Larry Lowell","Russell, Larry",House of Representatives District 21,Won,Won,Republican,Vonore,Yes,2018,
"Sexton, Cameron","Sexton, Cameron",House of Representatives District 25,Won,Won,Republican,Crossville,Yes,2018,
"Shaw, Johnny","Shaw, Johnny",House of Representatives District 80,Won,Won,Democrat,Bolivar,Yes,2018,
"Sherrell, Paul","Sherrell, Paul",House of Representatives District 43,Won,Won,Republican,Sparta,Yes,2018,
"Southerland, Steve","Southerland, Steve",Senate District 1,Won,Won,Republican,Morristown,Yes,2018,
"Sparks, Michael","Sparks, Mike",House of Representatives District 49,Won,Won,Republican,Smyrna,Yes,2018,
"Swann, Art","Swann, Art",Senate District 2,Won,Won,Republican,Alcoa,Yes,2018,
"Terry, Gregory Bryan","Terry, Bryan",House of Representatives District 48,Won,Won,Republican,Murfreesboro,Yes,2018,
"Thompson, Hilman Dwayne","Thompson, Dwayne",House of Representatives District 96,Won,Won,Democrat,Cordova,Yes,2018,
"Todd, Christopher","Todd, Chris",House of Representatives District 73,Won,Won,Republican,Jackson,Yes,2018,
"Towns, Jr., Joe","Towns, Joe",House of Representatives District 84,Lost,Lost,Democrat,Memphis,Yes,2018,
"Travis, Ron","Travis, Ron",House of Representatives District 31,Won,Won,Republican,Dayton,Yes,2018,
"Vaughan, Kevin","Vaughan, Kevin",House of Representatives District 95,Won,Won,Republican,Collierville,Yes,2018,
"Watson, Bo","Watson, Bo",Senate District 11,Won,Won,Republican,Hixson,Yes,2018,
"White, Dawn","White, Dawn",Senate District 13,Won,Won,Republican,Murfreesboro,Yes,2018,
"White, Mark","White, Mark",House of Representatives District 83,Won,Won,Republican,Memphis,Yes,2018,
"Whitson, Sam","Whitson, Sam",House of Representatives District 65,Won,Won,Republican,Franklin,Yes,2018,
"Williams, Ryan","Williams, Ryan",House of Representatives District 42,Won,Won,Republican,Cookeville,Yes,2018,
"Wright, Dave","Wright, Dave",House of Representatives District 19,Won,Won,Republican,Corryton,Yes,2018,
"Yarbro, Jeff","Yarbro, Jeff",Senate District 21,Won,Won,Democrat,Nashville,Yes,2018,
"Zachary, Jason","Zachary, Jason",House of Representatives District 14,Won,Won,Republican,Knoxville,Yes,2018,
"Abney, Carol Venea","Abney, Carol Venea",House of Representatives District 38,Lost,Won,Democrat,Celina,No,2018,
"Acuff, James","Acuff, James",House of Representatives District 35,Lost,Lost,Republican,Washburn,No,2018,
"Adams, Sharon ""Layne""","Adams, Sharon ""Layne""",House of Representatives District 39,Lost,Won,Democrat,Chattanooga,No,2018,
"Agostini, Keifel","Agostini, Keifel",House of Representatives District 89,Lost,Lost,Democrat,Knoxville,No,2018,
"Aikens, Tony R.","Aikens, Tony R.",House of Representatives District 21,Lost,Lost,Republican,Lenoir City,No,2018,
"Ali, Hana","Ali, Hana",House of Representatives District 45,Lost,Won,Democrat,Hendersonville,No,2018,
"Arganbright, Deane","Arganbright, Deane",House of Representatives District 76,Lost,Won,Democrat,Martin,No,2018,
"Arp, Doyle","Arp, Doyle",House of Representatives District 21,Lost,Lost,Republican,Philadelphia,No,2018,
"Bailey, Billy J.","Bailey, Billy J.",House of Representatives District 12,Lost,Lost,Democrat,Sevierville,No,2018,
"Bailey, Melville","Bailey, Melville",House of Representatives District 9,Lost,Lost,Republican,Rogersville,No,2018,
"Ballinger, Jamie","Ballinger, Jamie",Senate District 7,Lost,Won,Democrat,Knoxville,No,2018,
"Baxter, James A.","Baxter, James A.",House of Representatives District 73,Lost,Won,Democrat,Jackson,No,2018,
"Beavers (Senate), Mae","Beavers (Senate), Mae",Senate District 17,Lost,Lost,Republican,Mt. Juliet,No,2018,
"Beavers, Mae","Beavers, Mae",Governor,Lost,Lost,Republican,Mt. Juliet,No,2018,
"Beck, Bill","Beck, Bill",House of Representatives District 51,Won,Won,Democrat,Nashville,No,2018,
"Bell, Mike","Bell, Mike",Senate District 9,Won,Won,Republican,Riceville,No,2018,
"Birdsong, David R.","Birdsong, David R.",House of Representatives District 59,Lost,Won,Republican,Nashville,No,2018,
"Black, Diane","Black, Diane",Governor,Lost,Lost,Republican,Gallatin,No,2018,
"Blencoe, Mary Ellen","Blencoe, Mary Ellen",House of Representatives District 32,Lost,Won,Democrat,Harriman,No,2018,
"Borchert, Billy","Borchert, Billy",House of Representatives District 74,Lost,Won,Democrat,New Johnsonville,No,2018,
"Boyd, Randy","Boyd, Randy",Governor,Lost,Lost,Republican,Knoxville,No,2018,
"Brooks, Amberlee","Brooks, Amberlee",House of Representatives District 53,Lost,Won,Republican,Antioch,No,2018,
"Brooks, Harry","Brooks, Harry",House of Representatives District 19,Lost,Lost,Republican,Knoxville,No,2018,
"Brooks, Kevin","Brooks, Kevin",House of Representatives District 24,Lost,Lost,Republican,Cleveland,No,2018,
"Brown, Lola Denise","Brown, Lola Denise",House of Representatives District 54,Lost,Lost,Democrat,Nashville,No,2018,
"Brown, Mark Coonrippy","Brown, Mark Coonrippy",Governor,Lost,Won,Independent,Gallatin,No,2018,
"Bulso, Jr., Eugene N.","Bulso, Gino",House of Representatives District 61,Lost,Lost,Republican,Brentwood,No,2018,
"Burgess, Ernest","Burgess, Ernest",Senate District 13,Lost,Lost,Republican,Murfreesboro,No,2018,
"Burke, Rebecca Ann","Burke, Rebecca Ann",House of Representatives District 61,Lost,Lost,Republican,Franklin,No,2018,
"Bush, Jay","Bush, Jay",House of Representatives District 73,Lost,Lost,Republican,Jackson,No,2018,
"Butt, Sheila","Butt, Sheila",House of Representatives District 64,Lost,Lost,Republican,Columbia,No,2018,
"Byrd, David","Byrd, David",House of Representatives District 71,Won,Won,Republican,Waynesboro,No,2018,
"Cagle, William Mark","Cagle, William Mark",House of Representatives District 46,Lost,Won,Democrat,Lebanon,No,2018,
"Calfee, Kent","Calfee, Kent",House of Representatives District 32,Won,Won,Republican,Kingston,No,2018,
"Callaway, Christina","Callaway, Christina",Senate District 19,Lost,Won,Independent,Nashville,No,2018,
"Cambron, David","Cambron, David",House of Representatives District 99,Lost,Won,Democrat,Cordova,No,2018,
"Campfield, Stacey","Campfield, Stacey",House of Representatives District 89,Lost,Lost,Republican,Knoxville,No,2018,
"Cantrell, Andrew Jackson","Cantrell, Andrew Jackson",House of Representatives District 37,Lost,Lost,Democrat,Murfreesboro,No,2018,
"Carfi, Mary Alice","Carfi, Mary Alice",Senate District 17,Lost,Won,Democrat,Lebanon,No,2018,
"Carl, Richard","Carl, Richard",House of Representatives District 75,Lost,Won,Democrat,Paris,No,2018,
"Carr, Joe","Carr, Joe",Senate District 14,Lost,Lost,Republican,Lascassas,No,2018,
"Carter, Mike","Carter, Mike",House of Representatives District 29,Won,Won,Republican,Chattanooga,No,2018,
"Casada, Glen","Casada, Glen",House of Representatives District 63,Won,Won,Republican,Franklin,No,2018,
"Clark, Dennis","Clark, Dennis",House of Representatives District 28,Lost,Lost,Democrat,Chattanooga,No,2018,
"Clark, Jay","Clark, Jay",House of Representatives District 8,Lost,Won,Democrat,Rockford,No,2018,
